frequency_Hz,fortran_obs1_dB,fortran_obs2_dB,cpp_obs1_dB,cpp_obs2_dB
10,60.0024059501,42.9250336664,60.0024059501,42.9250336664
12.5,59.0337354611,42.0261021588,59.0337354611,42.0261021588
16,57.8597563817,40.9589497119,57.8597563817,40.9589497119
20,56.7054377269,39.9556895117,56.7054377269,39.9556895117
25,55.4660603813,38.9743519123,55.4660603813,38.9743519123
31.5,54.1072669695,38.1020678037,54.1072669695,38.1020678037
40,52.663082074,37.5187778921,52.663082074,37.5187778921
50,51.3519837028,37.3673542547,51.3519837028,37.3673542547
63,50.1792339989,37.6651864854,50.1792339989,37.6651864854
80,49.3682674512,38.3565890097,49.3682674512,38.3565890097
100,49.1347030844,39.1899682989,49.1347030844,39.1899682989
125,49.2642160807,39.9323362784,49.2642160807,39.9323362784
160,49.136661356,39.8521456438,49.136661356,39.8521456438
200,48.102636653,38.5905671637,48.102636653,38.5905671637
250,46.3263202705,36.8648120403,46.3263202705,36.8648120403
315,44.6531851282,35.3724886586,44.6531851282,35.3724886586
400,43.5398185498,34.500577557,43.5398185498,34.500577557
500,43.819949101,35.2010442764,43.819949101,35.2010442764
630,47.0125712395,38.5947880628,47.0125712395,38.5947880628
800,50.1146587718,40.2954246342,50.1146587718,40.2954246342
1000,54.915382554,42.7536259197,54.915382554,42.7536259197
1250,55.1867762485,42.903327747,55.1867762485,42.903327747
1600,39.9817940987,28.2045853805,39.9817940987,28.2045853805
2000,33.5722826135,22.6274404392,33.5722826135,22.6274404392
2500,31.7010800594,20.7340268905,31.7010800594,20.7340268905
3150,29.9424760412,18.8865058637,29.9424760412,18.8865058637
4000,27.9475289185,16.8244424085,27.9475289185,16.8244424085
5000,26.1032582158,14.8924567245,26.1032582158,14.8924567245
6300,24.170773719,12.8534856444,24.170773719,12.8534856444
8000,22.0989682539,10.6657786272,22.0989682539,10.6657786272
10000,20.0670544712,8.52556119195,20.0670544712,8.52556119195
12500,17.9221215865,6.27541967192,17.9221215865,6.27541967192
16000,15.3958670549,3.63932524713,15.3958670549,3.63932524713
20000,12.9535679036,1.10580601696,12.9535679036,1.10580601696
