time_s,fortran_obs1_dB,fortran_obs2_dB,cpp_obs1_dB,cpp_obs2_dB
0,60.90718,43.29816,60.907182,43.298165
0.1,66.86954,48.40633,66.8695377,48.4063274
0.2,66.99319,49.25182,66.9931856,49.2518117
0.3,66.92824,50.26932,66.9282423,50.2693197
0.4,66.84109,51.57728,66.8410854,51.5772797
0.5,66.77793,53.02304,66.7779301,53.0230404
0.6,66.93445,55.62004,66.9344447,55.6200249
0.7,67.34601,59.76612,67.3460038,59.766109
0.8,67.83498,54.58639,67.834975,54.5863796
0.9,67.98105,51.87981,67.9810451,51.8798085
1,67.60791,50.95958,67.6079085,50.9595927
1.1,67.38783,50.80463,67.3878359,50.8046347
1.2,67.32485,50.88638,67.3248563,50.8863856
1.3,67.16191,50.75431,67.1619134,50.7543086
1.4,67.06977,50.99991,67.0697699,50.9999027
1.5,67.1682,51.53599,67.1681953,51.5359887
1.6,67.20035,51.68008,67.200354,51.6800819
1.7,67.12822,51.65442,67.1282209,51.6544207
1.8,67.15148,51.80777,67.1514819,51.8077676
1.9,67.23844,51.90985,67.2384341,51.9098452
2,67.30257,51.91735,67.3025711,51.9173492
2.1,67.33345,51.97064,67.3334502,51.9706444
2.2,67.29539,52.01958,67.2953909,52.0195799
2.3,67.20774,52.15934,67.2077394,52.159339
2.4,67.15648,52.79568,67.1564809,52.7956751
2.5,67.20716,54.29644,67.2071546,54.2964415
2.6,67.308,56.714,67.3080017,56.7139996
2.7,67.29171,59.21162,67.29171,59.2116241
2.8,67.16174,52.63837,67.1617417,52.6383742
2.9,67.08515,50.5521,67.0851491,50.5521001
3,67.1027,50.3242,67.1026975,50.3242
3.1,67.19596,50.66899,67.1959622,50.6689897
3.2,67.29617,51.13577,67.2961651,51.1357672
3.3,67.25247,51.20652,67.2524713,51.2065246
3.4,67.12445,51.2394,67.1244465,51.2393974
3.5,67.08838,51.45902,67.0883821,51.4590238
3.6,67.16781,51.74375,67.1678084,51.7437479
3.7,67.31217,51.97436,67.3121691,51.9743577
3.8,67.36438,52.00014,67.364376,52.0001374
3.9,67.26127,51.81694,67.2612675,51.8169364
4,67.16595,51.69053,67.1659489,51.6905291
4.1,67.16971,51.77469,67.1697048,51.7746897
4.2,67.25335,52.06256,67.2533516,52.0625559
4.3,67.34689,52.50374,67.3468936,52.503742
4.4,67.31143,53.06803,67.3114267,53.0680279
4.5,67.19451,54.21578,67.1945109,54.2157783
4.6,67.14967,56.48283,67.1496653,56.4828294
4.7,67.16936,59.4415,67.1693597,59.4414961
4.8,67.21572,52.57806,67.215716,52.5780628
4.9,67.23579,50.62978,67.2357938,50.6297838
5,67.18283,50.32653,67.1828276,50.3265288
5.1,67.15043,50.68837,67.1504334,50.6883695
5.2,67.16466,51.17733,67.1646554,51.1773356
5.3,67.17506,51.24123,67.1750637,51.2412269
5.4,67.19487,51.31345,67.1948694,51.3134477
5.5,67.2012,51.48867,67.2012046,51.4886736
5.6,67.20795,51.71902,67.2079497,51.7190231
5.7,67.24725,51.93031,67.2472555,51.930309
5.8,67.256,51.94645,67.2560033,51.9464462
5.9,67.23633,51.82311,67.2363292,51.823108
6,67.23357,51.7537,67.2335738,51.7536977
6.1,67.23861,51.83142,67.2386092,51.8314201
6.2,67.26098,52.07232,67.2609792,52.0723241
6.3,67.27413,52.42878,67.2741268,52.4287757
6.4,67.23958,53.0435,67.2395841,53.0435027
6.5,67.2079,54.39813,67.2079011,54.3981292
6.6,67.20004,56.83782,67.2000448,56.837818
6.7,67.19479,59.90482,67.1947881,59.9048266
6.8,67.19615,52.30426,67.1961488,52.3042604
6.9,67.183,50.58714,67.1830008,50.5871427
7,67.16614,50.37522,67.1661375,50.3752221
7.1,67.17641,50.7023,67.1764054,50.7023
7.2,67.18014,51.09797,67.1801441,51.0979676
7.3,67.1712,51.18208,67.1711959,51.1820823
7.4,67.17093,51.34712,67.1709261,51.347123
7.5,67.18382,51.56309,67.1838172,51.5630841
7.6,67.22349,51.77156,67.2234933,51.7715609
7.7,67.26019,51.89406,67.2601895,51.8940637
7.8,67.24739,51.87468,67.2473932,51.8746788
7.9,67.21618,51.79731,67.21618,51.797311
8,67.21172,51.77987,67.2117182,51.779869
8.1,67.2424,51.8748,67.2423963,51.8748023
8.2,67.28974,52.08836,67.2897429,52.0883599
8.3,67.28747,52.42824,67.2874717,52.428237
8.4,67.22277,53.10804,67.2227726,53.1080402
8.5,67.16709,54.59814,67.1670879,54.5981417
8.6,67.16576,57.10293,67.1657601,57.1029311
8.7,67.21322,60.69695,67.213223,60.696955
8.8,67.25117,52.07765,67.2511713,52.077651
8.9,67.21106,50.57931,67.2110572,50.5793112
9,67.13119,50.30547,67.1311861,50.3054734
9.1,67.10074,50.58826,67.1007359,50.5882605
9.2,67.14453,51.0514,67.144534,51.0513998
9.3,67.22771,51.29546,67.2277081,51.2954638
9.4,67.26084,51.49858,67.2608452,51.4985856
9.5,67.20627,51.5921,67.2062703,51.5920993
9.6,67.15039,51.66606,67.1503907,51.6660595
9.7,67.16439,51.77957,67.1643933,51.7795704
9.8,67.24264,51.89945,67.2426444,51.8994533
9.9,67.31767,51.95218,67.3176666,51.952183
10,67.30195,51.87919,67.3019509,51.8791866
10.1,67.22623,51.8036,67.2262285,51.8035994
10.2,67.18783,51.94295,67.1878264,51.9429444
10.3,67.21099,52.42464,67.2109861,52.4246421
10.4,67.26088,53.36278,67.2608823,53.3627831
10.5,67.27299,54.97814,67.2729928,54.9781393
10.6,67.2179,57.27643,67.2178999,57.2764238
10.7,67.16397,60.5401,67.1639673,60.5401069
10.8,67.15637,51.70067,67.1563735,51.7006685
10.9,67.17191,50.54372,67.1719117,50.543718
11,67.18961,50.35167,67.1896061,50.3516687
11.1,67.18163,50.61824,67.1816277,50.6182363
11.2,67.1638,51.04136,67.1638035,51.041357
11.3,67.17332,51.29877,67.1733175,51.2987697
11.4,67.19,51.52071,67.1899969,51.5207094
11.5,67.19956,51.6334,67.1995631,51.6333963
11.6,67.20901,51.71088,67.2090099,51.7108747
11.7,67.21807,51.79092,67.218074,51.7909239
11.8,67.24146,51.87588,67.2414599,51.8758796
11.9,67.26252,51.90035,67.2625216,51.9003587
12,67.25452,51.845,67.2545186,51.8450011
12.1,67.23931,51.83323,67.2393125,51.8332252
12.2,67.23272,52.00776,67.2327184,52.0077612
12.3,67.23586,52.49147,67.235862,52.491472
12.4,67.24113,53.41754,67.2411286,53.417546
12.5,67.22793,55.06762,67.2279305,55.0676168
12.6,67.20074,57.46511,67.2007424,57.4651023
12.7,67.18587,57.73564,67.1858713,57.7356363
12.8,67.17959,51.55318,67.1795888,51.553181
12.9,67.17347,50.49362,67.1734684,50.4936215
13,67.16817,50.38468,67.1681673,50.384672
13.1,67.16266,50.69704,67.1626557,50.6970402
13.2,67.17069,51.08237,67.1706903,51.0823735
13.3,67.18752,51.27995,67.1875232,51.2799564
13.4,67.19271,51.48037,67.1927099,51.4803737
13.5,67.19053,51.62969,67.190526,51.6296842
13.6,67.19642,51.74056,67.1964212,51.7405569
13.7,67.21964,51.82678,67.2196432,51.8267737
13.8,67.25484,51.88027,67.254847,51.8802733
13.9,67.26693,51.86823,67.2669312,51.868236
14,67.24627,51.82158,67.2462673,51.8215826
