
Predictions were generated on 07-Sep-2026 at 12:30:09 using AA AeroAcoustics

Number of observers      :2
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1                	Obs2                
      (s)           	OASPL               	OASPL               
         0.0000	  6.194492E+001	  4.446378E+001
         0.1000	  6.696871E+001	  4.855568E+001
         0.2000	  6.708962E+001	  4.945148E+001
         0.3000	  6.698987E+001	  5.055524E+001
         0.4000	  6.688053E+001	  5.192332E+001
         0.5000	  6.683828E+001	  5.341547E+001
         0.6000	  6.717214E+001	  5.668191E+001
         0.7000	  6.770726E+001	  6.070393E+001
         0.8000	  6.830549E+001	  5.447728E+001
         0.9000	  6.852935E+001	  5.191603E+001
         1.0000	  6.812721E+001	  5.144342E+001
         1.1000	  6.789016E+001	  5.142863E+001
         1.2000	  6.783638E+001	  5.160734E+001
         1.3000	  6.758117E+001	  5.153922E+001
         1.4000	  6.742507E+001	  5.176584E+001
         1.5000	  6.751433E+001	  5.233248E+001
         1.6000	  6.753514E+001	  5.250203E+001
         1.7000	  6.744795E+001	  5.249108E+001
         1.8000	  6.749540E+001	  5.270083E+001
         1.9000	  6.762848E+001	  5.287596E+001
         2.0000	  6.769870E+001	  5.289473E+001
         2.1000	  6.772295E+001	  5.294555E+001
         2.2000	  6.769168E+001	  5.305045E+001
         2.3000	  6.760555E+001	  5.323500E+001
         2.4000	  6.754899E+001	  5.386371E+001
         2.5000	  6.760318E+001	  5.536099E+001
         2.6000	  6.770396E+001	  5.809884E+001
         2.7000	  6.766569E+001	  6.045251E+001
         2.8000	  6.752282E+001	  5.356296E+001
         2.9000	  6.744966E+001	  5.123939E+001
         3.0000	  6.748096E+001	  5.100313E+001
         3.1000	  6.758535E+001	  5.138866E+001
         3.2000	  6.768485E+001	  5.190547E+001
         3.3000	  6.763129E+001	  5.202843E+001
         3.4000	  6.749383E+001	  5.209515E+001
         3.5000	  6.746290E+001	  5.234549E+001
         3.6000	  6.756753E+001	  5.267977E+001
         3.7000	  6.771839E+001	  5.292781E+001
         3.8000	  6.775572E+001	  5.294356E+001
         3.9000	  6.763771E+001	  5.274823E+001
         4.0000	  6.754064E+001	  5.261121E+001
         4.1000	  6.755654E+001	  5.271531E+001
         4.2000	  6.764970E+001	  5.306878E+001
         4.3000	  6.773968E+001	  5.360109E+001
         4.4000	  6.768852E+001	  5.421180E+001
         4.5000	  6.756679E+001	  5.532124E+001
         4.6000	  6.753023E+001	  5.763167E+001
         4.7000	  6.755038E+001	  6.048275E+001
         4.8000	  6.759518E+001	  5.347887E+001
         4.9000	  6.760779E+001	  5.138152E+001
         5.0000	  6.755486E+001	  5.103200E+001
         5.1000	  6.753605E+001	  5.144139E+001
         5.2000	  6.755843E+001	  5.197091E+001
         5.3000	  6.756041E+001	  5.206314E+001
         5.4000	  6.757104E+001	  5.216774E+001
         5.5000	  6.757590E+001	  5.237651E+001
         5.6000	  6.759795E+001	  5.265027E+001
         5.7000	  6.765192E+001	  5.289467E+001
         5.8000	  6.765623E+001	  5.290437E+001
         5.9000	  6.761899E+001	  5.275299E+001
         6.0000	  6.760886E+001	  5.268002E+001
         6.1000	  6.762036E+001	  5.279838E+001
         6.2000	  6.765720E+001	  5.310948E+001
         6.3000	  6.767313E+001	  5.350099E+001
         6.4000	  6.762708E+001	  5.414279E+001
         6.5000	  6.758328E+001	  5.541962E+001
         6.6000	  6.756960E+001	  5.805117E+001
         6.7000	  6.756689E+001	  6.088043E+001
         6.8000	  6.757813E+001	  5.325024E+001
         6.9000	  6.756738E+001	  5.130517E+001
         7.0000	  6.754736E+001	  5.106659E+001
         7.1000	  6.755660E+001	  5.144020E+001
         7.2000	  6.755813E+001	  5.186983E+001
         7.3000	  6.754764E+001	  5.200973E+001
         7.4000	  6.755451E+001	  5.221688E+001
         7.5000	  6.757610E+001	  5.246426E+001
         7.6000	  6.762281E+001	  5.270348E+001
         7.7000	  6.765633E+001	  5.284101E+001
         7.8000	  6.763175E+001	  5.281862E+001
         7.9000	  6.759551E+001	  5.273771E+001
         8.0000	  6.759715E+001	  5.273408E+001
         8.1000	  6.763969E+001	  5.286304E+001
         8.2000	  6.769127E+001	  5.311158E+001
         8.3000	  6.767490E+001	  5.344258E+001
         8.4000	  6.759357E+001	  5.415458E+001
         8.5000	  6.753654E+001	  5.577747E+001
         8.6000	  6.754423E+001	  5.848103E+001
         8.7000	  6.760570E+001	  6.158522E+001
         8.8000	  6.764349E+001	  5.293538E+001
         8.9000	  6.758272E+001	  5.123997E+001
         9.0000	  6.749054E+001	  5.096861E+001
         9.1000	  6.746936E+001	  5.129992E+001
         9.2000	  6.753547E+001	  5.183936E+001
         9.3000	  6.763494E+001	  5.216066E+001
         9.4000	  6.765761E+001	  5.238590E+001
         9.5000	  6.757960E+001	  5.247686E+001
         9.6000	  6.751825E+001	  5.256499E+001
         9.7000	  6.755022E+001	  5.271523E+001
         9.8000	  6.764940E+001	  5.287106E+001
         9.9000	  6.772548E+001	  5.293035E+001
        10.0000	  6.768797E+001	  5.283351E+001
        10.1000	  6.759639E+001	  5.274138E+001
        10.2000	  6.756397E+001	  5.287825E+001
        10.3000	  6.759924E+001	  5.341295E+001
        10.4000	  6.765593E+001	  5.447972E+001
        10.5000	  6.765924E+001	  5.629679E+001
        10.6000	  6.758964E+001	  5.870608E+001
        10.7000	  6.753745E+001	  6.046210E+001
        10.8000	  6.753657E+001	  5.246793E+001
        10.9000	  6.755386E+001	  5.116304E+001
        11.0000	  6.756954E+001	  5.100429E+001
        11.1000	  6.755612E+001	  5.134416E+001
        11.2000	  6.754425E+001	  5.183294E+001
