
Predictions were generated on 07-Sep-2026 at 12:30:09 using AA AeroAcoustics

Number of observers      :2;  Number of frequencies    :34
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1_Freq10         	Obs1_Freq12.5       	Obs1_Freq16         	Obs1_Freq20         	Obs1_Freq25         	Obs1_Freq31.5       	Obs1_Freq40         	Obs1_Freq50         	Obs1_Freq63         	Obs1_Freq80         	Obs1_Freq100        	Obs1_Freq125        	Obs1_Freq160        	Obs1_Freq200        	Obs1_Freq250        	Obs1_Freq315        	Obs1_Freq400        	Obs1_Freq500        	Obs1_Freq630        	Obs1_Freq800        	Obs1_Freq1000       	Obs1_Freq1250       	Obs1_Freq1600       	Obs1_Freq2000       	Obs1_Freq2500       	Obs1_Freq3150       	Obs1_Freq4000       	Obs1_Freq5000       	Obs1_Freq6300       	Obs1_Freq8000       	Obs1_Freq10000      	Obs1_Freq12500      	Obs1_Freq16000      	Obs1_Freq20000      	Obs2_Freq10         	Obs2_Freq12.5       	Obs2_Freq16         	Obs2_Freq20         	Obs2_Freq25         	Obs2_Freq31.5       	Obs2_Freq40         	Obs2_Freq50         	Obs2_Freq63         	Obs2_Freq80         	Obs2_Freq100        	Obs2_Freq125        	Obs2_Freq160        	Obs2_Freq200        	Obs2_Freq250        	Obs2_Freq315        	Obs2_Freq400        	Obs2_Freq500        	Obs2_Freq630        	Obs2_Freq800        	Obs2_Freq1000       	Obs2_Freq1250       	Obs2_Freq1600       	Obs2_Freq2000       	Obs2_Freq2500       	Obs2_Freq3150       	Obs2_Freq4000       	Obs2_Freq5000       	Obs2_Freq6300       	Obs2_Freq8000       	Obs2_Freq10000      	Obs2_Freq12500      	Obs2_Freq16000      	Obs2_Freq20000      
      (s)           	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 
         0.0000	  3.329648E+001	  3.516382E+001	  3.721863E+001	  3.909798E+001	  4.099308E+001	  4.296302E+001	  4.497422E+001	  4.670609E+001	  4.831873E+001	  4.981179E+001	  5.084764E+001	  5.108111E+001	  4.984244E+001	  4.765420E+001	  4.556592E+001	  4.409424E+001	  4.394327E+001	  4.609219E+001	  4.947225E+001	  4.764670E+001	  5.363796E+001	  5.538473E+001	  4.012028E+001	  3.359321E+001	  3.174232E+001	  3.003085E+001	  2.807033E+001	  2.625481E+001	  2.434616E+001	  2.229153E+001	  2.026930E+001	  1.812918E+001	  1.560447E+001	  1.316190E+001	  1.688939E+001	  1.875835E+001	  2.083568E+001	  2.275313E+001	  2.469360E+001	  2.672022E+001	  2.875992E+001	  3.041785E+001	  3.186414E+001	  3.316074E+001	  3.402626E+001	  3.410412E+001	  3.279147E+001	  3.068598E+001	  2.876033E+001	  2.745895E+001	  2.735161E+001	  2.940146E+001	  3.247410E+001	  3.044515E+001	  3.438431E+001	  3.656506E+001	  2.154311E+001	  1.546890E+001	  1.361052E+001	  1.185296E+001	  9.858948E+000	  7.996392E+000	  6.029346E+000	  3.910615E+000	  1.828234E+000	 -3.704115E-001	 -2.956127E+000	 -5.449087E+000
         0.1000	  5.983834E+001	  5.886900E+001	  5.769418E+001	  5.653790E+001	  5.529197E+001	  5.391095E+001	  5.239531E+001	  5.091566E+001	  4.935765E+001	  4.778721E+001	  4.640929E+001	  4.522215E+001	  4.422414E+001	  4.366838E+001	  4.340090E+001	  4.312499E+001	  4.278695E+001	  4.278405E+001	  4.513674E+001	  4.968029E+001	  5.540787E+001	  5.676486E+001	  4.128874E+001	  3.413537E+001	  3.211824E+001	  3.033780E+001	  2.827932E+001	  2.636879E+001	  2.437335E+001	  2.225085E+001	  2.019092E+001	  1.804060E+001	  1.553597E+001	  1.313630E+001	  4.083021E+001	  3.984467E+001	  3.865740E+001	  3.750231E+001	  3.628579E+001	  3.498819E+001	  3.361629E+001	  3.232046E+001	  3.104544E+001	  2.989566E+001	  2.906263E+001	  2.852533E+001	  2.815321E+001	  2.790573E+001	  2.799700E+001	  2.775993E+001	  2.740332E+001	  2.741738E+001	  2.970839E+001	  3.391659E+001	  3.821276E+001	  3.892817E+001	  2.369324E+001	  1.705726E+001	  1.501388E+001	  1.314396E+001	  1.100510E+001	  8.996702E+000	  6.888726E+000	  4.650909E+000	  2.491884E+000	  2.556291E-001	 -2.325581E+000	 -4.777147E+000
         0.2000	  5.995276E+001	  5.898928E+001	  5.782047E+001	  5.666828E+001	  5.542338E+001	  5.403676E+001	  5.250525E+001	  5.099632E+001	  4.937941E+001	  4.769955E+001	  4.619198E+001	  4.491181E+001	  4.395256E+001	  4.356004E+001	  4.335328E+001	  4.316859E+001	  4.290067E+001	  4.275494E+001	  4.496425E+001	  5.008751E+001	  5.482976E+001	  5.742494E+001	  4.184553E+001	  3.436901E+001	  3.229141E+001	  3.051404E+001	  2.845549E+001	  2.654577E+001	  2.455355E+001	  2.243656E+001	  2.038310E+001	  1.824002E+001	  1.574381E+001	  1.335189E+001	  4.122264E+001	  4.025419E+001	  3.908491E+001	  3.794310E+001	  3.673325E+001	  3.543825E+001	  3.408580E+001	  3.282462E+001	  3.155393E+001	  3.036315E+001	  2.954940E+001	  2.925800E+001	  2.926447E+001	  2.960557E+001	  2.972446E+001	  2.963642E+001	  2.944836E+001	  2.930291E+001	  3.138097E+001	  3.632008E+001	  3.933849E+001	  4.108140E+001	  2.575664E+001	  1.887417E+001	  1.676875E+001	  1.488146E+001	  1.272302E+001	  1.069177E+001	  8.560270E+000	  6.301281E+000	  4.126566E+000	  1.878968E+000	 -7.098674E-001	 -3.164296E+000
         0.3000	  5.993519E+001	  5.897041E+001	  5.780035E+001	  5.664740E+001	  5.540247E+001	  5.401717E+001	  5.248837E+001	  5.098046E+001	  4.937279E+001	  4.769467E+001	  4.620586E+001	  4.493606E+001	  4.399782E+001	  4.360156E+001	  4.352198E+001	  4.333748E+001	  4.290444E+001	  4.269371E+001	  4.502660E+001	  5.012249E+001	  5.436503E+001	  5.683363E+001	  4.135616E+001	  3.419721E+001	  3.218293E+001	  3.040532E+001	  2.835066E+001	  2.644674E+001	  2.446106E+001	  2.235060E+001	  2.030213E+001	  1.816199E+001	  1.566576E+001	  1.327046E+001	  4.182288E+001	  4.087241E+001	  3.972958E+001	  3.862438E+001	  3.747697E+001	  3.628966E+001	  3.507889E+001	  3.396181E+001	  3.287110E+001	  3.187446E+001	  3.129641E+001	  3.115925E+001	  3.138996E+001	  3.167245E+001	  3.208116E+001	  3.190841E+001	  3.154432E+001	  3.151343E+001	  3.392484E+001	  3.858533E+001	  4.082671E+001	  4.214125E+001	  2.702852E+001	  2.063359E+001	  1.859033E+001	  1.668675E+001	  1.451762E+001	  1.247502E+001	  1.033076E+001	  8.058921E+000	  5.872659E+000	  3.613301E+000	  1.010177E+000	 -1.459041E+000
         0.4000	  5.985462E+001	  5.888667E+001	  5.771324E+001	  5.655767E+001	  5.531113E+001	  5.392627E+001	  5.239916E+001	  5.089922E+001	  4.929717E+001	  4.765391E+001	  4.618366E+001	  4.490587E+001	  4.389411E+001	  4.342087E+001	  4.324855E+001	  4.308168E+001	  4.262942E+001	  4.238981E+001	  4.501132E+001	  5.000428E+001	  5.489627E+001	  5.612181E+001	  4.076736E+001	  3.396269E+001	  3.201035E+001	  3.022506E+001	  2.817130E+001	  2.626561E+001	  2.427481E+001	  2.215664E+001	  2.009957E+001	  1.794997E+001	  1.544250E+001	  1.303629E+001	  4.248067E+001	  4.154578E+001	  4.042966E+001	  3.936772E+001	  3.830309E+001	  3.728032E+001	  3.631972E+001	  3.545680E+001	  3.464646E+001	  3.396708E+001	  3.359502E+001	  3.353059E+001	  3.368738E+001	  3.399747E+001	  3.428086E+001	  3.431499E+001	  3.376221E+001	  3.351895E+001	  3.662574E+001	  4.098594E+001	  4.320597E+001	  4.303890E+001	  2.824892E+001	  2.246643E+001	  2.048026E+001	  1.854492E+001	  1.635318E+001	  1.428068E+001	  1.209839E+001	  9.783994E+000	  7.558151E+000	  5.261422E+000	  2.620806E+000	  1.212359E-001
         0.5000	  5.982134E+001	  5.885113E+001	  5.767528E+001	  5.651791E+001	  5.527068E+001	  5.388783E+001	  5.237005E+001	  5.088756E+001	  4.933549E+001	  4.778121E+001	  4.645979E+001	  4.534336E+001	  4.441917E+001	  4.392773E+001	  4.366679E+001	  4.344774E+001	  4.289536E+001	  4.255857E+001	  4.513034E+001	  4.983158E+001	  5.505000E+001	  5.562545E+001	  4.034138E+001	  3.372816E+001	  3.180866E+001	  3.001947E+001	  2.797316E+001	  2.607575E+001	  2.409306E+001	  2.198157E+001	  1.992800E+001	  1.777820E+001	  1.526554E+001	  1.285009E+001	  4.269590E+001	  4.177788E+001	  4.070843E+001	  3.974436E+001	  3.888494E+001	  3.824049E+001	  3.779756E+001	  3.747936E+001	  3.727128E+001	  3.719766E+001	  3.722503E+001	  3.726443E+001	  3.725714E+001	  3.739651E+001	  3.740028E+001	  3.751490E+001	  3.704231E+001	  3.677672E+001	  3.958872E+001	  4.314397E+001	  4.490513E+001	  4.371265E+001	  2.935880E+001	  2.417600E+001	  2.218709E+001	  2.018531E+001	  1.793883E+001	  1.580022E+001	  1.353895E+001	  1.113858E+001	  8.833023E+000	  6.460429E+000	  3.743233E+000	  1.182486E+000
         0.6000	  6.005667E+001	  5.908502E+001	  5.790972E+001	  5.675790E+001	  5.552710E+001	  5.418592E+001	  5.276617E+001	  5.145225E+001	  5.018570E+001	  4.910897E+001	  4.846993E+001	  4.819220E+001	  4.798046E+001	  4.735104E+001	  4.618472E+001	  4.477954E+001	  4.361565E+001	  4.363022E+001	  4.610723E+001	  5.008998E+001	  5.485360E+001	  5.517950E+001	  3.996569E+001	  3.353910E+001	  3.166311E+001	  2.989513E+001	  2.789036E+001	  2.603390E+001	  2.408861E+001	  2.200546E+001	  1.996561E+001	  1.781563E+001	  1.528697E+001	  1.284485E+001	  4.285777E+001	  4.202075E+001	  4.115348E+001	  4.057582E+001	  4.042288E+001	  4.092579E+001	  4.197039E+001	  4.291970E+001	  4.368121E+001	  4.431690E+001	  4.479901E+001	  4.510707E+001	  4.494442E+001	  4.405475E+001	  4.285946E+001	  4.188030E+001	  4.132284E+001	  4.196999E+001	  4.437338E+001	  4.579803E+001	  4.312298E+001	  4.404810E+001	  3.078231E+001	  2.665149E+001	  2.470495E+001	  2.269205E+001	  2.046995E+001	  1.833118E+001	  1.603833E+001	  1.356709E+001	  1.115580E+001	  8.638666E+000	  5.722855E+000	  2.959058E+000
         0.7000	  6.030695E+001	  5.933983E+001	  5.817834E+001	  5.705590E+001	  5.588737E+001	  5.467742E+001	  5.352704E+001	  5.267912E+001	  5.210507E+001	  5.175337E+001	  5.146822E+001	  5.094280E+001	  4.969863E+001	  4.787606E+001	  4.587095E+001	  4.428060E+001	  4.403776E+001	  4.586175E+001	  4.835274E+001	  4.790313E+001	  5.598086E+001	  5.486339E+001	  3.967455E+001	  3.333666E+001	  3.150277E+001	  2.976687E+001	  2.780540E+001	  2.598630E+001	  2.407066E+001	  2.200642E+001	  1.997329E+001	  1.782022E+001	  1.527840E+001	  1.281741E+001	  4.316814E+001	  4.248643E+001	  4.191750E+001	  4.178080E+001	  4.226508E+001	  4.356403E+001	  4.557928E+001	  4.770997E+001	  4.962668E+001	  5.101030E+001	  5.158636E+001	  5.130839E+001	  4.967809E+001	  4.721848E+001	  4.490133E+001	  4.333574E+001	  4.381489E+001	  4.664225E+001	  4.955416E+001	  4.575314E+001	  4.547272E+001	  4.588482E+001	  3.335402E+001	  2.980205E+001	  2.800368E+001	  2.614669E+001	  2.411910E+001	  2.215556E+001	  2.002283E+001	  1.768234E+001	  1.535066E+001	  1.286327E+001	  9.915314E+000	  7.061702E+000
         0.8000	  6.054187E+001	  5.959350E+001	  5.846499E+001	  5.739693E+001	  5.633564E+001	  5.535235E+001	  5.464974E+001	  5.444401E+001	  5.458087E+001	  5.447786E+001	  5.379799E+001	  5.248754E+001	  5.035984E+001	  4.837879E+001	  4.668806E+001	  4.556859E+001	  4.577835E+001	  4.758598E+001	  4.777262E+001	  4.048270E+001	  5.606553E+001	  5.478873E+001	  3.963087E+001	  3.323451E+001	  3.128648E+001	  2.946177E+001	  2.743393E+001	  2.558517E+001	  2.366529E+001	  2.161541E+001	  1.960638E+001	  1.748359E+001	  1.497910E+001	  1.255305E+001	  4.304663E+001	  4.220468E+001	  4.130331E+001	  4.067414E+001	  4.049805E+001	  4.106339E+001	  4.243600E+001	  4.407813E+001	  4.517798E+001	  4.451642E+001	  4.249259E+001	  4.024666E+001	  3.757232E+001	  3.539269E+001	  3.419822E+001	  3.438375E+001	  3.615276E+001	  3.850065E+001	  3.557426E+001	  2.804893E+001	  4.203618E+001	  4.172491E+001	  2.697960E+001	  2.140863E+001	  1.958277E+001	  1.778304E+001	  1.575175E+001	  1.382445E+001	  1.176670E+001	  9.540470E+000	  7.354843E+000	  5.058697E+000	  2.379945E+000	 -1.792197E-001
