
Predictions were generated on 06-Sep-2026 at 14:48:24 using AA AeroAcoustics

Number of observers      :2
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1                	Obs2                
      (s)           	OASPL               	OASPL               
         0.0000	  6.090718E+001	  4.329816E+001
         0.1000	  6.686954E+001	  4.840633E+001
         0.2000	  6.699319E+001	  4.925182E+001
         0.3000	  6.692824E+001	  5.026932E+001
         0.4000	  6.684109E+001	  5.157728E+001
         0.5000	  6.677793E+001	  5.302304E+001
         0.6000	  6.693445E+001	  5.562004E+001
         0.7000	  6.734601E+001	  5.976612E+001
         0.8000	  6.783498E+001	  5.458639E+001
         0.9000	  6.798105E+001	  5.187981E+001
         1.0000	  6.760791E+001	  5.095958E+001
         1.1000	  6.738783E+001	  5.080463E+001
         1.2000	  6.732485E+001	  5.088638E+001
         1.3000	  6.716191E+001	  5.075431E+001
         1.4000	  6.706977E+001	  5.099991E+001
         1.5000	  6.716820E+001	  5.153599E+001
         1.6000	  6.720035E+001	  5.168008E+001
         1.7000	  6.712822E+001	  5.165442E+001
         1.8000	  6.715148E+001	  5.180777E+001
         1.9000	  6.723844E+001	  5.190985E+001
         2.0000	  6.730257E+001	  5.191735E+001
         2.1000	  6.733345E+001	  5.197064E+001
         2.2000	  6.729539E+001	  5.201958E+001
         2.3000	  6.720774E+001	  5.215934E+001
         2.4000	  6.715648E+001	  5.279568E+001
         2.5000	  6.720716E+001	  5.429644E+001
         2.6000	  6.730800E+001	  5.671400E+001
         2.7000	  6.729171E+001	  5.921162E+001
         2.8000	  6.716174E+001	  5.263837E+001
         2.9000	  6.708515E+001	  5.055210E+001
         3.0000	  6.710270E+001	  5.032420E+001
         3.1000	  6.719596E+001	  5.066899E+001
         3.2000	  6.729617E+001	  5.113577E+001
         3.3000	  6.725247E+001	  5.120652E+001
         3.4000	  6.712445E+001	  5.123940E+001
         3.5000	  6.708838E+001	  5.145902E+001
         3.6000	  6.716781E+001	  5.174375E+001
         3.7000	  6.731217E+001	  5.197436E+001
         3.8000	  6.736438E+001	  5.200014E+001
         3.9000	  6.726127E+001	  5.181694E+001
         4.0000	  6.716595E+001	  5.169053E+001
         4.1000	  6.716971E+001	  5.177469E+001
         4.2000	  6.725335E+001	  5.206256E+001
         4.3000	  6.734689E+001	  5.250374E+001
         4.4000	  6.731143E+001	  5.306803E+001
         4.5000	  6.719451E+001	  5.421578E+001
         4.6000	  6.714967E+001	  5.648283E+001
         4.7000	  6.716936E+001	  5.944150E+001
         4.8000	  6.721572E+001	  5.257806E+001
         4.9000	  6.723579E+001	  5.062978E+001
         5.0000	  6.718283E+001	  5.032653E+001
         5.1000	  6.715043E+001	  5.068837E+001
         5.2000	  6.716466E+001	  5.117733E+001
         5.3000	  6.717506E+001	  5.124123E+001
         5.4000	  6.719487E+001	  5.131345E+001
         5.5000	  6.720120E+001	  5.148867E+001
         5.6000	  6.720795E+001	  5.171902E+001
         5.7000	  6.724725E+001	  5.193031E+001
         5.8000	  6.725600E+001	  5.194645E+001
         5.9000	  6.723633E+001	  5.182311E+001
         6.0000	  6.723357E+001	  5.175370E+001
         6.1000	  6.723861E+001	  5.183142E+001
         6.2000	  6.726098E+001	  5.207232E+001
         6.3000	  6.727413E+001	  5.242878E+001
         6.4000	  6.723958E+001	  5.304350E+001
         6.5000	  6.720790E+001	  5.439813E+001
         6.6000	  6.720004E+001	  5.683782E+001
         6.7000	  6.719479E+001	  5.990482E+001
         6.8000	  6.719615E+001	  5.230426E+001
         6.9000	  6.718300E+001	  5.058714E+001
         7.0000	  6.716614E+001	  5.037522E+001
         7.1000	  6.717641E+001	  5.070230E+001
         7.2000	  6.718014E+001	  5.109797E+001
         7.3000	  6.717120E+001	  5.118208E+001
         7.4000	  6.717093E+001	  5.134712E+001
         7.5000	  6.718382E+001	  5.156309E+001
         7.6000	  6.722349E+001	  5.177156E+001
         7.7000	  6.726019E+001	  5.189406E+001
         7.8000	  6.724739E+001	  5.187468E+001
         7.9000	  6.721618E+001	  5.179731E+001
         8.0000	  6.721172E+001	  5.177987E+001
         8.1000	  6.724240E+001	  5.187480E+001
         8.2000	  6.728974E+001	  5.208836E+001
         8.3000	  6.728747E+001	  5.242824E+001
         8.4000	  6.722277E+001	  5.310804E+001
         8.5000	  6.716709E+001	  5.459814E+001
         8.6000	  6.716576E+001	  5.710293E+001
         8.7000	  6.721322E+001	  6.069695E+001
         8.8000	  6.725117E+001	  5.207765E+001
         8.9000	  6.721106E+001	  5.057931E+001
         9.0000	  6.713119E+001	  5.030547E+001
         9.1000	  6.710074E+001	  5.058826E+001
         9.2000	  6.714453E+001	  5.105140E+001
         9.3000	  6.722771E+001	  5.129546E+001
         9.4000	  6.726084E+001	  5.149858E+001
         9.5000	  6.720627E+001	  5.159210E+001
         9.6000	  6.715039E+001	  5.166606E+001
         9.7000	  6.716439E+001	  5.177957E+001
         9.8000	  6.724264E+001	  5.189945E+001
         9.9000	  6.731767E+001	  5.195218E+001
        10.0000	  6.730195E+001	  5.187919E+001
        10.1000	  6.722623E+001	  5.180360E+001
        10.2000	  6.718783E+001	  5.194295E+001
        10.3000	  6.721099E+001	  5.242464E+001
        10.4000	  6.726088E+001	  5.336278E+001
        10.5000	  6.727299E+001	  5.497814E+001
        10.6000	  6.721790E+001	  5.727643E+001
        10.7000	  6.716397E+001	  6.054010E+001
        10.8000	  6.715637E+001	  5.170067E+001
        10.9000	  6.717191E+001	  5.054372E+001
        11.0000	  6.718961E+001	  5.035167E+001
        11.1000	  6.718163E+001	  5.061824E+001
        11.2000	  6.716380E+001	  5.104136E+001
        11.3000	  6.717332E+001	  5.129877E+001
        11.4000	  6.719000E+001	  5.152071E+001
        11.5000	  6.719956E+001	  5.163340E+001
        11.6000	  6.720901E+001	  5.171088E+001
        11.7000	  6.721807E+001	  5.179092E+001
        11.8000	  6.724146E+001	  5.187588E+001
        11.9000	  6.726252E+001	  5.190035E+001
        12.0000	  6.725452E+001	  5.184500E+001
        12.1000	  6.723931E+001	  5.183323E+001
        12.2000	  6.723272E+001	  5.200776E+001
        12.3000	  6.723586E+001	  5.249147E+001
        12.4000	  6.724113E+001	  5.341754E+001
        12.5000	  6.722793E+001	  5.506762E+001
        12.6000	  6.720074E+001	  5.746511E+001
        12.7000	  6.718587E+001	  5.773564E+001
        12.8000	  6.717959E+001	  5.155318E+001
        12.9000	  6.717347E+001	  5.049362E+001
        13.0000	  6.716817E+001	  5.038468E+001
        13.1000	  6.716266E+001	  5.069704E+001
        13.2000	  6.717069E+001	  5.108237E+001
        13.3000	  6.718752E+001	  5.127995E+001
        13.4000	  6.719271E+001	  5.148037E+001
        13.5000	  6.719053E+001	  5.162969E+001
        13.6000	  6.719642E+001	  5.174056E+001
        13.7000	  6.721964E+001	  5.182678E+001
        13.8000	  6.725484E+001	  5.188027E+001
        13.9000	  6.726693E+001	  5.186823E+001
        14.0000	  6.724627E+001	  5.182158E+001
        14.1000	  6.722227E+001	  5.184328E+001
        14.2000	  6.722235E+001	  5.204972E+001
        14.3000	  6.724602E+001	  5.254522E+001
        14.4000	  6.726190E+001	  5.349627E+001
        14.5000	  6.723462E+001	  5.522908E+001
        14.6000	  6.718236E+001	  5.771625E+001
        14.7000	  6.715313E+001	  5.623809E+001
        14.8000	  6.716598E+001	  5.139873E+001
        14.9000	  6.720102E+001	  5.052145E+001
        15.0000	  6.720804E+001	  5.047821E+001
        15.1000	  6.716966E+001	  5.074226E+001
        15.2000	  6.713153E+001	  5.102357E+001
        15.3000	  6.714012E+001	  5.121945E+001
        15.4000	  6.719283E+001	  5.150452E+001
        15.5000	  6.724528E+001	  5.172233E+001
        15.6000	  6.724556E+001	  5.180470E+001
        15.7000	  6.720848E+001	  5.179712E+001
        15.8000	  6.719244E+001	  5.179065E+001
        15.9000	  6.722265E+001	  5.182613E+001
        16.0000	  6.727354E+001	  5.188884E+001
        16.1000	  6.729123E+001	  5.195554E+001
        16.2000	  6.725483E+001	  5.208783E+001
        16.3000	  6.720822E+001	  5.249602E+001
        16.4000	  6.719780E+001	  5.351223E+001
        16.5000	  6.721421E+001	  5.546908E+001
