
Predictions were generated on 06-Sep-2026 at 14:48:24 using AA AeroAcoustics

Number of observers      :2;  Number of frequencies    :34
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1_Freq10         	Obs1_Freq12.5       	Obs1_Freq16         	Obs1_Freq20         	Obs1_Freq25         	Obs1_Freq31.5       	Obs1_Freq40         	Obs1_Freq50         	Obs1_Freq63         	Obs1_Freq80         	Obs1_Freq100        	Obs1_Freq125        	Obs1_Freq160        	Obs1_Freq200        	Obs1_Freq250        	Obs1_Freq315        	Obs1_Freq400        	Obs1_Freq500        	Obs1_Freq630        	Obs1_Freq800        	Obs1_Freq1000       	Obs1_Freq1250       	Obs1_Freq1600       	Obs1_Freq2000       	Obs1_Freq2500       	Obs1_Freq3150       	Obs1_Freq4000       	Obs1_Freq5000       	Obs1_Freq6300       	Obs1_Freq8000       	Obs1_Freq10000      	Obs1_Freq12500      	Obs1_Freq16000      	Obs1_Freq20000      	Obs2_Freq10         	Obs2_Freq12.5       	Obs2_Freq16         	Obs2_Freq20         	Obs2_Freq25         	Obs2_Freq31.5       	Obs2_Freq40         	Obs2_Freq50         	Obs2_Freq63         	Obs2_Freq80         	Obs2_Freq100        	Obs2_Freq125        	Obs2_Freq160        	Obs2_Freq200        	Obs2_Freq250        	Obs2_Freq315        	Obs2_Freq400        	Obs2_Freq500        	Obs2_Freq630        	Obs2_Freq800        	Obs2_Freq1000       	Obs2_Freq1250       	Obs2_Freq1600       	Obs2_Freq2000       	Obs2_Freq2500       	Obs2_Freq3150       	Obs2_Freq4000       	Obs2_Freq5000       	Obs2_Freq6300       	Obs2_Freq8000       	Obs2_Freq10000      	Obs2_Freq12500      	Obs2_Freq16000      	Obs2_Freq20000      
      (s)           	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 
         0.0000	  2.729388E+001	  2.944809E+001	  3.177801E+001	  3.386704E+001	  3.596001E+001	  3.812489E+001	  4.028284E+001	  4.217195E+001	  4.399029E+001	  4.575374E+001	  4.733348E+001	  4.865738E+001	  4.904175E+001	  4.789476E+001	  4.588834E+001	  4.422368E+001	  4.316953E+001	  4.354681E+001	  4.720479E+001	  5.006348E+001	  5.372673E+001	  5.534224E+001	  4.009611E+001	  3.359627E+001	  3.172667E+001	  2.998866E+001	  2.800052E+001	  2.616291E+001	  2.423767E+001	  2.217302E+001	  2.014733E+001	  1.800841E+001	  1.548909E+001	  1.305393E+001	  1.220534E+001	  1.430775E+001	  1.664163E+001	  1.876880E+001	  2.091383E+001	  2.309181E+001	  2.505431E+001	  2.657805E+001	  2.798889E+001	  2.939698E+001	  3.073163E+001	  3.189864E+001	  3.212197E+001	  3.095840E+001	  2.910673E+001	  2.762261E+001	  2.666083E+001	  2.702708E+001	  3.049840E+001	  3.283205E+001	  3.457506E+001	  3.651807E+001	  2.152386E+001	  1.548018E+001	  1.359339E+001	  1.179849E+001	  9.765902E+000	  7.872339E+000	  5.881704E+000	  3.748425E+000	  1.660772E+000	 -5.364605E-001	 -3.114723E+000	 -5.597282E+000
         0.1000	  5.975357E+001	  5.878565E+001	  5.761137E+001	  5.645353E+001	  5.520217E+001	  5.380866E+001	  5.227338E+001	  5.076939E+001	  4.917117E+001	  4.752214E+001	  4.607581E+001	  4.484819E+001	  4.386679E+001	  4.342565E+001	  4.316808E+001	  4.291462E+001	  4.258608E+001	  4.259526E+001	  4.507428E+001	  4.972611E+001	  5.550441E+001	  5.652890E+001	  4.109621E+001	  3.406880E+001	  3.207293E+001	  3.029012E+001	  2.823059E+001	  2.631883E+001	  2.432161E+001	  2.219700E+001	  2.013501E+001	  1.798255E+001	  1.547540E+001	  1.307318E+001	  4.073574E+001	  3.974915E+001	  3.855585E+001	  3.738537E+001	  3.613334E+001	  3.477068E+001	  3.333625E+001	  3.200184E+001	  3.065419E+001	  2.935120E+001	  2.836501E+001	  2.792176E+001	  2.765037E+001	  2.770546E+001	  2.769502E+001	  2.751341E+001	  2.718556E+001	  2.721982E+001	  2.960771E+001	  3.398834E+001	  3.825539E+001	  3.865403E+001	  2.347421E+001	  1.696720E+001	  1.494224E+001	  1.306949E+001	  1.092896E+001	  8.919164E+000	  6.809650E+000	  4.570301E+000	  2.409943E+000	  1.723307E-001	 -2.410633E+000	 -4.864211E+000
         0.2000	  5.988094E+001	  5.891765E+001	  5.774850E+001	  5.659496E+001	  5.534694E+001	  5.395402E+001	  5.241230E+001	  5.089020E+001	  4.925355E+001	  4.754282E+001	  4.602879E+001	  4.476178E+001	  4.383419E+001	  4.342930E+001	  4.321095E+001	  4.310009E+001	  4.291736E+001	  4.275770E+001	  4.500567E+001	  5.007572E+001	  5.483364E+001	  5.711866E+001	  4.158890E+001	  3.427013E+001	  3.222307E+001	  3.044469E+001	  2.838636E+001	  2.647703E+001	  2.448474E+001	  2.236718E+001	  2.031278E+001	  1.816832E+001	  1.567000E+001	  1.327559E+001	  4.109680E+001	  4.012606E+001	  3.895145E+001	  3.779923E+001	  3.656692E+001	  3.522607E+001	  3.381824E+001	  3.251036E+001	  3.118673E+001	  2.992557E+001	  2.905136E+001	  2.890312E+001	  2.905080E+001	  2.933596E+001	  2.946950E+001	  2.952368E+001	  2.945034E+001	  2.925199E+001	  3.136198E+001	  3.621596E+001	  3.920575E+001	  4.064577E+001	  2.539131E+001	  1.868316E+001	  1.660527E+001	  1.471620E+001	  1.255719E+001	  1.052574E+001	  8.393721E+000	  6.133836E+000	  3.957924E+000	  1.708681E+000	 -8.826225E-001	 -3.339956E+000
         0.3000	  5.988541E+001	  5.892146E+001	  5.775163E+001	  5.659762E+001	  5.534930E+001	  5.395660E+001	  5.241636E+001	  5.089449E+001	  4.926563E+001	  4.756238E+001	  4.605371E+001	  4.479708E+001	  4.388569E+001	  4.353296E+001	  4.339258E+001	  4.326382E+001	  4.293626E+001	  4.274112E+001	  4.508141E+001	  5.011208E+001	  5.440311E+001	  5.665578E+001	  4.120790E+001	  3.413487E+001	  3.213528E+001	  3.035658E+001	  2.830158E+001	  2.639756E+001	  2.441164E+001	  2.230075E+001	  2.025172E+001	  1.811084E+001	  1.561351E+001	  1.321693E+001	  4.160303E+001	  4.064647E+001	  3.949084E+001	  3.836180E+001	  3.716475E+001	  3.588762E+001	  3.459698E+001	  3.344575E+001	  3.230355E+001	  3.125299E+001	  3.059592E+001	  3.070820E+001	  3.105120E+001	  3.154274E+001	  3.171897E+001	  3.172590E+001	  3.150516E+001	  3.145696E+001	  3.387004E+001	  3.840039E+001	  4.063158E+001	  4.172573E+001	  2.666517E+001	  2.037779E+001	  1.834583E+001	  1.643792E+001	  1.426562E+001	  1.222016E+001	  1.007298E+001	  7.798264E+000	  5.609508E+000	  3.347769E+000	  7.420224E-001	 -1.729665E+000
         0.4000	  5.982334E+001	  5.885697E+001	  5.768440E+001	  5.652791E+001	  5.527730E+001	  5.388298E+001	  5.234253E+001	  5.082426E+001	  4.919480E+001	  4.751220E+001	  4.600798E+001	  4.473861E+001	  4.378015E+001	  4.336492E+001	  4.319996E+001	  4.297284E+001	  4.264704E+001	  4.249853E+001	  4.504549E+001	  5.004376E+001	  5.485299E+001	  5.606260E+001	  4.071801E+001	  3.393747E+001	  3.198790E+001	  3.020231E+001	  2.814805E+001	  2.624251E+001	  2.425228E+001	  2.213492E+001	  2.007865E+001	  1.792975E+001	  1.542280E+001	  1.301679E+001	  4.218771E+001	  4.124418E+001	  4.010881E+001	  3.900988E+001	  3.786779E+001	  3.670317E+001	  3.561860E+001	  3.473868E+001	  3.389380E+001	  3.312751E+001	  3.268191E+001	  3.291068E+001	  3.333450E+001	  3.379952E+001	  3.415293E+001	  3.396979E+001	  3.363735E+001	  3.353812E+001	  3.655474E+001	  4.082715E+001	  4.289601E+001	  4.269178E+001	  2.793717E+001	  2.220762E+001	  2.022045E+001	  1.827874E+001	  1.608147E+001	  1.400442E+001	  1.181830E+001	  9.501010E+000	  7.273273E+000	  4.975098E+000	  2.333000E+000	 -1.680487E-001
         0.5000	  5.974906E+001	  5.878057E+001	  5.760562E+001	  5.644701E+001	  5.519453E+001	  5.379918E+001	  5.226007E+001	  5.074843E+001	  4.914345E+001	  4.749242E+001	  4.604501E+001	  4.482925E+001	  4.386134E+001	  4.340462E+001	  4.318037E+001	  4.287321E+001	  4.244345E+001	  4.233405E+001	  4.508524E+001	  4.968655E+001	  5.544215E+001	  5.562521E+001	  4.034500E+001	  3.373948E+001	  3.181778E+001	  3.002538E+001	  2.797244E+001	  2.606717E+001	  2.407557E+001	  2.195532E+001	  1.989512E+001	  1.774107E+001	  1.522697E+001	  1.281311E+001	  4.235368E+001	  4.141649E+001	  4.030074E+001	  3.924514E+001	  3.819947E+001	  3.724396E+001	  3.654700E+001	  3.618265E+001	  3.594637E+001	  3.575295E+001	  3.568494E+001	  3.595113E+001	  3.627194E+001	  3.666521E+001	  3.700362E+001	  3.681247E+001	  3.639609E+001	  3.638951E+001	  3.950552E+001	  4.283070E+001	  4.544064E+001	  4.352136E+001	  2.919007E+001	  2.403175E+001	  2.203516E+001	  2.002109E+001	  1.775780E+001	  1.559928E+001	  1.331477E+001	  1.089016E+001	  8.564532E+000	  6.176905E+000	  3.450946E+000	  8.897802E-001
         0.6000	  5.988693E+001	  5.891633E+001	  5.773924E+001	  5.657980E+001	  5.532974E+001	  5.394556E+001	  5.243884E+001	  5.099889E+001	  4.954693E+001	  4.822515E+001	  4.731285E+001	  4.676279E+001	  4.643319E+001	  4.619090E+001	  4.560153E+001	  4.449020E+001	  4.339251E+001	  4.310082E+001	  4.564314E+001	  4.999660E+001	  5.493450E+001	  5.517555E+001	  3.996269E+001	  3.353062E+001	  3.164449E+001	  2.986509E+001	  2.784389E+001	  2.597307E+001	  2.401595E+001	  2.192499E+001	  1.988238E+001	  1.773390E+001	  1.521111E+001	  1.277715E+001	  4.237630E+001	  4.147490E+001	  4.045629E+001	  3.959651E+001	  3.894424E+001	  3.871096E+001	  3.906081E+001	  3.979113E+001	  4.074844E+001	  4.177878E+001	  4.263193E+001	  4.317499E+001	  4.325836E+001	  4.295768E+001	  4.231228E+001	  4.150912E+001	  4.100486E+001	  4.120344E+001	  4.402986E+001	  4.605004E+001	  4.370852E+001	  4.397898E+001	  3.069707E+001	  2.652846E+001	  2.454474E+001	  2.248735E+001	  2.021240E+001	  1.802585E+001	  1.569105E+001	  1.318937E+001	  1.076441E+001	  8.248642E+000	  5.350221E+000	  2.613296E+000
         0.7000	  6.008032E+001	  5.910796E+001	  5.793172E+001	  5.677993E+001	  5.555427E+001	  5.423639E+001	  5.288627E+001	  5.172128E+001	  5.073201E+001	  5.007422E+001	  4.983152E+001	  4.964582E+001	  4.899041E+001	  4.776297E+001	  4.617912E+001	  4.463870E+001	  4.372267E+001	  4.452775E+001	  4.743858E+001	  4.934905E+001	  5.599034E+001	  5.484780E+001	  3.967700E+001	  3.336256E+001	  3.151088E+001	  2.975232E+001	  2.776463E+001	  2.592334E+001	  2.398966E+001	  2.191305E+001	  1.987414E+001	  1.772033E+001	  1.518249E+001	  1.272837E+001	  4.261720E+001	  4.186839E+001	  4.118628E+001	  4.088750E+001	  4.111818E+001	  4.204109E+001	  4.352248E+001	  4.508493E+001	  4.671699E+001	  4.830233E+001	  4.952517E+001	  5.010234E+001	  4.946794E+001	  4.769056E+001	  4.550676E+001	  4.380278E+001	  4.314060E+001	  4.473195E+001	  4.855011E+001	  4.886329E+001	  4.632786E+001	  4.648788E+001	  3.369297E+001	  2.995135E+001	  2.810400E+001	  2.619667E+001	  2.411060E+001	  2.209929E+001	  1.992727E+001	  1.755835E+001	  1.521210E+001	  1.272232E+001	  9.786425E+000	  6.957383E+000
         0.8000	  6.028013E+001	  5.931899E+001	  5.816014E+001	  5.703391E+001	  5.585624E+001	  5.464623E+001	  5.355155E+001	  5.287810E+001	  5.272370E+001	  5.296013E+001	  5.284026E+001	  5.196625E+001	  5.012299E+001	  4.804981E+001	  4.630236E+001	  4.519679E+001	  4.541524E+001	  4.750586E+001	  4.948735E+001	  4.387747E+001	  5.602878E+001	  5.475155E+001	  3.960809E+001	  3.329263E+001	  3.139133E+001	  2.959431E+001	  2.758243E+001	  2.573447E+001	  2.380553E+001	  2.174076E+001	  1.971575E+001	  1.757649E+001	  1.505416E+001	  1.261288E+001	  4.255749E+001	  4.170763E+001	  4.079064E+001	  4.011247E+001	  3.982133E+001	  4.021014E+001	  4.132375E+001	  4.272131E+001	  4.420446E+001	  4.503407E+001	  4.426966E+001	  4.219510E+001	  3.973953E+001	  3.777318E+001	  3.666772E+001	  3.671273E+001	  3.812798E+001	  4.055917E+001	  4.067202E+001	  3.183392E+001	  4.055805E+001	  4.022030E+001	  2.630296E+001	  2.168415E+001	  1.981666E+001	  1.791670E+001	  1.580163E+001	  1.376816E+001	  1.157874E+001	  9.201325E+000	  6.865022E+000	  4.413221E+000	  1.563013E+000	 -1.143472E+000
